I_mod1,I_mod2,I_mod3,I_mod4,I_mod5
1.4924110112483,0.732497030731961,1.49241387953367,0.820646865579903,1.49252767738643
1.45686131561192,0.732497027954723,1.45687019363557,0.820646862469286,1.45695874273415
1.43567142842514,0.732497026299038,1.43568264468568,0.820646860615418,1.4357593561412
1.40762550648112,0.732497024108237,1.40763877493172,0.82064685816122,1.40770425419381
1.3505090240246,0.732497019646301,1.35052438166532,0.820646853163531,1.35057430886724
1.27287357534185,0.732497013581349,1.27288989966598,0.82064684637072,1.27292622325634
1.18230651238508,0.73249700650637,1.18232229509479,0.820646838446382,1.18235030015637
1.07105573707651,0.732496997815512,1.07107069200407,0.820646828712286,1.07109119721252
0.949345258018935,0.732496988307628,0.949358896626642,0.820646818063043,0.949374982998348
0.820675858167252,0.732496978256159,0.820688701294124,0.820646806804939,0.820700771627363
