V_mod1,V_mod2,V_mod3,V_mod4,V_mod5
41.0611333766082,-0.800776867505426,39.4470523828675,-0.800688717670418,0.457484956734786
41.0622419777767,-0.800776446186767,39.4500190210377,-0.800688296351764,3.08034893278648
41.0677792161338,-0.800774339026851,39.4647922219675,-0.800686189191867,16.1947345693177
41.0705992478696,-0.800773264293864,39.4722875326509,-0.80068511445889,22.7517672225018
41.0755356265583,-0.800771383974806,39.485384955695,-0.800683234139849,29.3010798051998
41.0826177246258,-0.800768670919277,39.5040110757924,-0.800680521084346,31.6735865131884
41.1053971506151,-0.800759912159836,39.563256626141,-0.800671762324987,33.9897643715957
41.1958505548927,-0.800724358058433,39.7871930422525,-0.800636208223918,36.515621861811
41.2483947512845,-0.8007031657912,39.9105160422116,-0.800615015956884,37.191807806568
41.3164365149614,-0.800675117495977,40.0633751444798,-0.800586967661923,37.8229463696748
