mes,dia,hora,Ir_total,Ir_difusa,Temperatura
2,2,11,514,93,5.22
2,2,12,571,79,6.6
2,2,13,556,85,7.63
2,2,14,482,86,8.37
2,2,15,356,78,8.74
2,2,16,196,59,8.59
2,2,17,28,16,7.92
2,3,8,92,40,-1.23
2,3,9,236,105,1.27
2,3,10,406,100,4.55
2,3,11,524,83,6.83
2,3,12,579,73,8.51
2,3,13,570,67,9.61
2,3,14,405,195,10.43
2,3,15,216,177,10.81
2,3,16,146,101,10.68
2,3,17,29,19,9.62
2,4,8,71,52,4.69
2,4,9,175,135,5.03
2,4,10,168,163,5.88
2,4,11,421,223,6.41
2,4,12,306,268,7.24
2,4,13,213,209,7.96
2,4,14,175,173,8.45
2,4,15,203,175,8.58
2,4,16,86,83,8.76
2,4,17,17,16,8.48
2,5,8,104,35,5.26
2,5,9,234,116,6.21
2,5,10,371,159,6.98
2,5,11,537,78,8.01
2,5,12,278,256,9.22
2,5,13,541,139,9.78
2,5,14,299,241,10.33
2,5,15,341,124,10.34
2,5,16,194,79,9.94
2,5,17,39,20,9.45
2,6,8,106,39,3.41
2,6,9,281,67,5.14
2,6,10,428,85,7.18
2,6,11,539,84,8.64
2,6,12,595,74,10.25
2,6,13,558,120,11.36
2,6,14,505,82,11.99
2,6,15,392,50,12.26
2,6,16,215,60,12.09
2,6,17,18,18,11.23
2,7,8,93,53,1.43
2,7,9,240,120,3.45
2,7,10,297,211,5.54
2,7,11,314,260,7.57
2,7,12,406,281,8.99
2,7,13,501,208,9.69
2,7,14,240,222,10.35
2,7,15,202,179,10.28
2,7,16,181,100,10.17
2,7,17,26,23,9.77
2,8,8,39,39,5.72
2,8,9,50,50,6.33
2,8,10,110,110,6.96
2,8,11,119,119,7.49
2,8,12,83,83,7.8
2,8,13,224,219,8.61
2,8,14,316,248,8.7
2,8,15,371,105,9.42
2,8,16,150,114,9.86
2,8,17,29,26,9.11
2,9,8,104,54,1.5
2,9,9,112,110,4.82
2,9,10,450,74,6.83
2,9,11,554,84,7.46
2,9,12,611,74,8.42
2,9,13,516,203,8.97
2,9,14,521,83,9.3
2,9,15,385,93,9.22
2,9,16,107,100,8.48
2,9,17,51,25,7.61
2,10,8,99,60,-0.6
2,10,9,280,94,0.57
2,10,10,406,149,2.25
2,10,11,529,136,3.82
2,10,12,534,203,5.13
2,10,13,444,269,5.89
2,10,14,427,215,6.22
2,10,15,250,195,6.28
2,10,16,122,110,6.19
2,10,17,34,29,5.72
2,11,8,124,43,-2.9
2,11,9,300,75,0.02
2,11,10,374,188,1.39
2,11,11,186,185,2.4
2,11,12,335,288,3.63
2,11,13,413,286,4.09
2,11,14,349,256,4.43
2,11,15,371,129,4.35
2,11,16,242,57,4
2,11,17,61,25,3.28
2,12,8,129,44,-1.98
2,12,9,309,67,-0.78
2,12,10,458,89,0.8
2,12,11,570,85,2.22
2,12,12,634,60,3.39
2,12,13,544,192,4.57
2,12,14,534,89,5.49
2,12,15,389,112,5.63
2,12,16,209,102,5.76
