,0
862,52.82
863,52.82
864,52.82
865,52.82
866,52.82
867,52.82
868,52.82
869,52.82
870,52.82
871,52.82
872,52.82
873,52.82
874,52.82
875,52.82
876,52.82
877,52.82
878,52.82
879,52.82
880,52.82
881,52.82
882,52.83
883,52.82
884,52.81
885,52.82
886,52.82
887,52.82
888,52.82
889,52.82
890,52.82
891,52.81
892,52.82
893,52.82
894,52.83
895,52.83
896,52.83
897,52.82
898,52.82
899,52.83
900,52.82
901,52.82
902,52.82
903,52.82
904,52.82
905,52.82
906,52.82
907,52.83
908,52.83
909,52.82
910,52.82
911,52.83
912,52.82
913,52.83
914,52.83
915,52.83
916,52.83
917,52.83
918,52.83
919,52.83
920,52.83
921,52.83
922,52.83
923,52.83
924,52.83
925,52.83
926,52.83
927,52.83
928,52.83
929,52.83
930,52.83
931,52.83
932,52.83
933,52.82
934,52.82
935,52.83
936,52.83
937,52.83
938,52.83
939,52.82
940,52.83
941,52.83
942,52.83
943,52.83
944,52.83
945,52.83
946,52.83
947,52.83
948,52.83
949,52.83
950,52.83
951,52.83
952,52.82
953,52.83
954,52.83
955,52.82
956,52.82
957,52.82
958,52.82
959,52.83
960,52.83
961,52.82
962,52.83
963,52.83
964,52.83
965,52.82
966,52.82
967,52.83
968,52.82
969,52.82
970,52.82
971,52.83
972,52.83
973,52.83
974,52.82
975,52.83
976,52.83
977,52.82
978,52.83
979,52.83
980,52.82
981,52.83
982,52.83
983,52.83
984,52.83
985,52.83
986,52.83
987,52.83
988,52.83
989,52.83
990,52.83
991,52.83
992,52.83
993,52.83
994,52.83
995,52.82
996,52.83
997,52.83
998,52.83
999,52.83
1000,52.83
1001,52.83
1002,52.83
1003,52.83
1004,52.83
1005,52.83
1006,52.83
1007,52.83
1008,52.83
1009,52.83
1010,52.83
1011,52.83
1012,52.82
1013,52.83
1014,52.83
1015,52.83
1016,52.83
1017,52.83
1018,52.83
1019,52.83
1020,52.83
1021,52.83
1022,52.83
1023,52.83
1024,52.83
1025,52.83
1026,52.83
1027,52.83
1028,52.83
1029,52.83
1030,52.83
1031,52.83
1032,52.82
1033,52.82
1034,52.82
1035,52.83
1036,52.82
1037,52.83
1038,52.82
1039,52.82
1040,52.83
1041,52.83
1042,52.83
1043,52.83
1044,52.83
1045,52.83
1046,52.83
1047,52.83
1048,52.83
1049,52.83
1050,52.83
1051,52.83
1052,52.83
1053,52.83
1054,52.83
1055,52.83
1056,52.83
1057,52.83
1058,52.83
1059,52.83
1060,52.83
1061,52.83
1062,52.83
1063,52.83
1064,52.83
1065,52.83
1066,52.83
1067,52.83
1068,52.83
1069,52.82
1070,52.83
1071,52.83
1072,52.83
1073,52.83
1074,52.83
1075,52.83
1076,52.83
1077,52.83
1078,52.83
1079,52.83
1080,52.83
1081,52.83
1082,52.83
1083,52.83
1084,52.83
1085,52.83
1086,52.83
1087,52.83
1088,52.83
1089,52.83
1090,52.83
1091,52.83
1092,52.83
1093,52.83
1094,52.83
1095,52.83
1096,52.83
1097,52.83
1098,52.83
1099,52.83
1100,52.83
1101,52.83
1102,52.83
1103,52.83
1104,52.83
1105,52.83
1106,52.83
1107,52.83
1108,52.83
1109,52.83
1110,52.83
1111,52.83
1112,52.83
1113,52.83
1114,52.83
1115,52.83
1116,52.83
1117,52.83
1118,52.83
1119,52.83
1120,52.83
1121,52.83
1122,52.83
1123,52.83
1124,52.83
1125,52.83
1126,52.83
1127,52.83
1128,52.83
1129,52.83
1130,52.83
1131,52.83
1132,52.83
1133,52.83
1134,52.83
1135,52.83
1136,52.83
1137,52.83
1138,52.83
1139,52.83
1140,52.83
1141,52.83
1142,52.83
1143,52.83
1144,52.83
1145,52.83
1146,52.83
1147,52.83
1148,52.83
1149,52.83
1150,52.83
1151,52.83
1152,52.83
1153,52.83
1154,52.83
1155,52.83
1156,52.82
1157,52.83
1158,52.83
1159,52.83
1160,52.82
1161,52.83
1162,52.83
1163,52.83
1164,52.82
1165,52.82
1166,52.82
1167,52.82
1168,52.83
1169,52.83
1170,52.82
1171,52.83
1172,52.82
1173,52.83
1174,52.83
1175,52.83
1176,52.83
1177,52.83
1178,52.83
1179,52.83
1180,52.83
1181,52.82
1182,52.83
1183,52.83
1184,52.83
1185,52.83
1186,52.83
1187,52.83
1188,52.83
1189,52.83
1190,52.83
1191,52.83
1192,52.83
1193,52.83
1194,52.83
1195,52.83
1196,52.83
1197,52.83
1198,52.83
1199,52.83
1200,52.83
1201,52.83
1202,52.83
1203,52.83
1204,52.83
1205,52.83
1206,52.84
1207,52.83
1208,52.83
1209,52.83
1210,52.83
1211,52.83
1212,52.83
1213,52.83
1214,52.83
1215,52.83
1216,52.83
1217,52.83
1218,52.83
1219,52.83
1220,52.83
1221,52.83
1222,52.83
1223,52.83
1224,52.83
1225,52.83
1226,52.83
1227,52.83
1228,52.83
1229,52.83
1230,52.83
1231,52.83
1232,52.83
1233,52.83
1234,52.83
1235,52.83
1236,52.83
1237,52.83
1238,52.83
1239,52.83
1240,52.83
1241,52.83
1242,52.83
1243,52.83
1244,52.83
1245,52.83
1246,52.83
1247,52.83
1248,52.83
1249,52.83
1250,52.83
1251,52.83
1252,52.83
1253,52.83
1254,52.83
1255,52.84
1256,52.84
1257,52.83
1258,52.83
1259,52.83
1260,52.84
1261,52.83
1262,52.84
1263,52.83
1264,52.83
1265,52.83
1266,52.83
1267,52.83
1268,52.83
1269,52.83
1270,52.83
1271,52.83
1272,52.83
1273,52.83
1274,52.83
1275,52.83
1276,52.83
1277,52.83
1278,52.83
1279,52.83
1280,52.83
1281,52.83
1282,52.83
1283,52.83
1284,52.83
1285,52.83
1286,52.83
1287,52.83
1288,52.83
1289,52.83
1290,52.83
1291,52.83
1292,52.83
1293,52.83
1294,52.83
1295,52.83
1296,52.83
1297,52.83
1298,52.83
1299,52.83
1300,52.83
1301,52.83
1302,52.83
1303,52.83
1304,52.83
1305,52.83
1306,52.83
1307,52.83
1308,52.83
1309,52.83
1310,52.83
1311,52.83
1312,52.83
1313,52.83
1314,52.83
1315,52.83
1316,52.83
1317,52.83
1318,52.83
1319,52.83
1320,52.83
1321,52.83
1322,52.83
1323,52.83
1324,52.83
1325,52.83
1326,52.83
1327,52.83
1328,52.83
1329,52.83
1330,52.83
1331,52.83
1332,52.84
1333,52.83
1334,52.84
1335,52.83
1336,52.84
1337,52.84
1338,52.84
1339,52.84
1340,52.83
1341,52.84
1342,52.84
1343,52.83
1344,52.83
1345,52.84
1346,52.83
1347,52.84
1348,52.84
1349,52.84
1350,52.83
1351,52.83
1352,52.83
1353,52.83
1354,52.83
1355,52.83
1356,52.83
1357,52.83
1358,52.83
1359,52.83
1360,52.83
1361,52.83
1362,52.83
1363,52.83
1364,52.83
1365,52.83
1366,52.83
1367,52.83
1368,52.83
1369,52.84
1370,52.83
1371,52.83
1372,52.83
1373,52.83
1374,52.83
1375,52.83
1376,52.83
1377,52.83
1378,52.83
1379,52.83
1380,52.83
1381,52.83
1382,52.83
1383,52.84
1384,52.83
1385,52.83
1386,52.84
1387,52.83
1388,52.84
1389,52.84
1390,52.84
1391,52.84
1392,52.83
1393,52.84
1394,52.84
1395,52.84
1396,52.84
1397,52.84
1398,52.84
1399,52.84
1400,52.84
1401,52.84
1402,52.84
1403,52.83
1404,52.83
1405,52.83
1406,52.83
1407,52.83
1408,52.83
1409,52.83
1410,52.83
1411,52.83
1412,52.83
1413,52.83
1414,52.84
1415,52.84
1416,52.83
1417,52.84
1418,52.83
1419,52.84
1420,52.83
1421,52.83
1422,52.84
1423,52.83
1424,52.83
1425,52.83
1426,52.83
1427,52.83
1428,52.84
1429,52.84
1430,52.83
1431,52.83
1432,52.84
1433,52.83
1434,52.83
1435,52.83
1436,52.84
1437,52.83
1438,52.83
1439,52.83
1440,52.83
1441,52.83
1442,52.83
1443,52.83
1444,52.83
1445,52.83
1446,52.83
1447,52.83
1448,52.83
1449,52.83
1450,52.83
1451,52.83
1452,52.83
1453,52.84
1454,52.84
1455,52.83
1456,52.84
1457,52.84
1458,52.84
1459,52.84
1460,52.84
1461,52.84
1462,52.84
1463,52.84
1464,52.84
1465,52.84
1466,52.84
1467,52.84
1468,52.84
1469,52.84
1470,52.84
1471,52.84
1472,52.83
1473,52.83
1474,52.84
1475,52.84
1476,52.83
1477,52.83
1478,52.83
1479,52.83
1480,52.83
1481,52.83
1482,52.83
1483,52.83
1484,52.83
1485,52.83
1486,52.83
1487,52.83
1488,52.83
1489,52.83
1490,52.83
1491,52.83
1492,52.83
1493,52.83
1494,52.83
1495,52.83
1496,52.84
1497,52.83
1498,52.84
1499,52.83
1500,52.84
1501,52.83
1502,52.84
1503,52.84
1504,52.84
1505,52.84
1506,52.84
1507,52.83
1508,52.84
1509,52.84
1510,52.84
1511,52.84
1512,52.84
1513,52.84
1514,52.84
1515,52.84
1516,52.83
1517,52.83
1518,52.83
1519,52.84
1520,52.84
1521,52.84
1522,52.84
1523,52.84
1524,52.83
1525,52.84
1526,52.84
1527,52.84
1528,52.83
1529,52.83
1530,52.83
1531,52.84
1532,52.83
1533,52.83
1534,52.83
1535,52.83
1536,52.84
1537,52.84
1538,52.84
1539,52.84
1540,52.83
1541,52.83
1542,52.83
1543,52.84
1544,52.84
1545,52.83
1546,52.83
1547,52.84
1548,52.83
1549,52.83
1550,52.83
1551,52.83
1552,52.83
1553,52.83
1554,52.83
1555,52.84
1556,52.84
1557,52.84
1558,52.84
1559,52.84
1560,52.84
1561,52.84
1562,52.84
1563,52.84
1564,52.83
1565,52.84
1566,52.84
1567,52.83
1568,52.84
1569,52.84
1570,52.84
1571,52.84
1572,52.84
1573,52.84
1574,52.84
1575,52.84
1576,52.84
1577,52.84
1578,52.84
1579,52.84
1580,52.84
1581,52.84
1582,52.84
1583,52.84
1584,52.84
1585,52.83
1586,52.84
1587,52.84
1588,52.84
1589,52.84
1590,52.83
1591,52.84
1592,52.84
1593,52.83
1594,52.83
1595,52.83
1596,52.83
1597,52.83
1598,52.84
1599,52.83
1600,52.83
1601,52.84
1602,52.83
1603,52.83
1604,52.83
1605,52.84
1606,52.83
1607,52.83
1608,52.83
1609,52.83
1610,52.83
1611,52.83
1612,52.84
1613,52.84
1614,52.84
1615,52.84
1616,52.83
1617,52.83
1618,52.84
1619,52.84
1620,52.83
1621,52.84
1622,52.83
1623,52.83
1624,52.83
1625,52.84
1626,52.83
1627,52.83
1628,52.84
1629,52.83
1630,52.83
1631,52.83
1632,52.83
1633,52.84
1634,52.84
1635,52.84
1636,52.84
1637,52.84
1638,52.84
1639,52.84
1640,52.84
1641,52.84
1642,52.83
1643,52.83
1644,52.83
1645,52.84
1646,52.84
1647,52.84
1648,52.84
1649,52.84
1650,52.84
1651,52.83
1652,52.83
1653,52.84
1654,52.83
1655,52.84
1656,52.84
1657,52.84
1658,52.84
1659,52.84
1660,52.84
1661,52.84
1662,52.83
1663,52.84
1664,52.84
1665,52.84
1666,52.83
1667,52.84
1668,52.84
1669,52.84
1670,52.84
1671,52.84
1672,52.84
1673,52.83
1674,52.83
1675,52.83
1676,52.83
1677,52.83
1678,52.84
1679,52.84
1680,52.84
1681,52.84
1682,52.84
1683,52.84
1684,52.84
1685,52.84
1686,52.84
1687,52.84
1688,52.84
1689,52.83
1690,52.84
1691,52.84
1692,52.84
1693,52.84
1694,52.83
1695,52.83
1696,52.83
1697,52.83
1698,52.84
1699,52.84
1700,52.83
1701,52.83
1702,52.83
1703,52.83
1704,52.83
1705,52.83
1706,52.83
1707,52.83
1708,52.83
1709,52.83
1710,52.83
1711,52.83
1712,52.83
1713,52.83
1714,52.83
1715,52.83
1716,52.83
1717,52.83
1718,52.83
1719,52.83
1720,52.83
1721,52.83
1722,52.83
1723,52.83
1724,52.83
1725,52.83
1726,52.83
1727,52.84
1728,52.83
1729,52.83
1730,52.84
1731,52.83
1732,52.83
1733,52.83
1734,52.83
1735,52.83
1736,52.83
1737,52.83
1738,52.83
1739,52.83
1740,52.83
1741,52.83
1742,52.83
1743,52.83
1744,52.83
1745,52.83
1746,52.83
1747,52.83
1748,52.83
1749,52.83
1750,52.83
1751,52.83
1752,52.83
1753,52.83
1754,52.83
1755,52.83
1756,52.83
1757,52.83
1758,52.83
1759,52.83
1760,52.83
1761,52.83
1762,52.83
1763,52.83
1764,52.83
1765,52.83
1766,52.83
1767,52.83
1768,52.83
1769,52.83
1770,52.83
1771,52.84
1772,52.83
1773,52.83
1774,52.83
1775,52.83
1776,52.83
1777,52.83
1778,52.83
1779,52.83
1780,52.83
1781,52.83
1782,52.83
1783,52.83
1784,52.83
1785,52.83
1786,52.83
1787,52.83
1788,52.83
1789,52.83
1790,52.83
1791,52.83
1792,52.83
1793,52.83
1794,52.83
1795,52.83
1796,52.83
1797,52.83
1798,52.83
1799,52.83
1800,52.83
1801,52.83
1802,52.83
1803,52.83
1804,52.83
1805,52.83
1806,52.83
1807,52.83
1808,52.83
1809,52.83
1810,52.83
1811,52.82
1812,52.81
1813,52.81
1814,52.78
1815,52.76
1816,52.63
1817,52.51
1818,52.38
1819,52.37
1820,52.3
1821,52.25
1822,52.05
1823,51.73
1824,51.39
1825,51.18
1826,51.04
1827,50.71
1828,50.32
1829,50.21
1830,49.83
1831,49.64
1832,48.93
1833,48.6
1834,47.77
1835,47.43
1836,47.02
1837,46.59
1838,46.59
1839,45.99
1840,46.01
1841,46.0
1842,45.95
1843,45.97
1844,45.98
1845,45.96
1846,46.0
1847,45.95
1848,45.96
1849,45.97
1850,45.97
1851,45.97
1852,45.95
1853,45.95
1854,45.95
1855,45.92
1856,45.93
1857,45.94
1858,45.92
1859,45.91
1860,45.9
1861,45.89
1862,45.88
1863,45.92
1864,45.94
1865,45.87
1866,45.91
1867,45.9
1868,45.9
1869,45.88
1870,45.83
1871,45.55
1872,45.35
1873,45.14
1874,44.51
1875,44.09
1876,43.4
1877,42.86
1878,42.22
1879,41.41
1880,40.38
1881,39.46
1882,38.45
1883,38.46
1884,38.48
1885,38.51
1886,38.55
1887,38.5
1888,38.48
1889,38.44
1890,38.43
1891,38.45
1892,38.45
1893,38.45
1894,38.44
1895,38.46
1896,38.47
1897,38.5
1898,38.51
1899,38.53
1900,38.54
1901,38.54
1902,38.54
1903,38.52
1904,38.49
1905,38.47
1906,38.44
1907,38.42
1908,38.42
1909,38.41
1910,38.39
1911,38.36
1912,38.34
1913,38.3
1914,38.2
1915,38.1
1916,37.59
1917,37.04
1918,36.45
1919,35.93
1920,35.25
1921,34.3
1922,33.38
1923,32.34
1924,31.25
1925,30.8
1926,30.8
1927,30.78
1928,30.78
1929,30.81
1930,30.81
1931,30.81
1932,30.81
1933,30.83
1934,30.85
1935,30.88
1936,30.89
1937,30.88
1938,30.86
1939,30.83
1940,30.81
1941,30.79
1942,30.77
1943,30.75
1944,30.73
1945,30.7
1946,30.67
1947,30.63
1948,30.58
1949,30.33
1950,29.98
1951,29.66
1952,29.12
1953,28.8
1954,28.16
1955,27.6
1956,26.56
1957,25.93
1958,25.02
1959,24.09
1960,23.7
1961,24.41
1962,23.1
1963,24.24
1964,25.71
1965,26.74
1966,24.44
1967,23.48
1968,23.1
1969,23.13
1970,23.13
1971,23.14
1972,22.98
1973,23.68
1974,24.68
1975,25.3
1976,25.86
1977,26.58
1978,27.23
1979,27.82
1980,28.17
1981,28.66
1982,29.01
1983,29.26
1984,29.67
1985,29.52
1986,29.02
1987,28.44
1988,27.96
1989,27.34
1990,26.8
1991,26.05
1992,25.17
1993,24.46
1994,23.52
1995,22.36
1996,21.17
1997,20.49
1998,20.18
1999,21.29
2000,21.2
2001,22.91
2002,25.23
2003,24.03
2004,22.23
2005,21.26
2006,19.33
2007,20.15
2008,21.03
2009,21.6
2010,22.52
2011,23.49
2012,23.94
2013,24.51
2014,25.1
2015,25.7
2016,26.15
2017,26.61
2018,26.96
2019,27.2
2020,27.51
2021,27.94
2022,27.71
2023,27.23
2024,26.81
2025,26.09
2026,25.23
2027,24.16
2028,23.39
2029,22.43
2030,22.42
2031,22.48
2032,22.54
2033,22.58
2034,22.61
2035,22.6
2036,22.72
2037,22.89
2038,22.61
2039,22.64
2040,22.6
2041,23.65
2042,24.97
2043,26.52
2044,28.31
2045,29.65
2046,31.03
2047,32.04
2048,32.95
2049,33.78
2050,34.34
2051,34.94
2052,35.51
2053,35.74
2054,35.87
2055,35.07
2056,34.25
2057,33.36
2058,32.09
2059,31.32
2060,29.95
2061,28.46
2062,26.77
2063,25.32
2064,23.37
2065,22.14
2066,21.23
2067,22.53
2068,23.46
2069,21.91
2070,20.34
2071,17.92
2072,16.58
2073,16.1
2074,16.92
2075,17.63
2076,18.42
2077,19.0
2078,19.58
2079,20.23
2080,20.75
2081,21.15
2082,21.47
2083,21.52
2084,21.38
2085,20.8
2086,20.24
2087,19.51
2088,18.93
2089,18.12
2090,16.99
2091,16.06
2092,16.01
2093,17.34
2094,19.64
2095,21.58
2096,23.29
2097,22.28
2098,20.15
2099,18.1
2100,16.42
2101,16.39
2102,17.27
2103,18.2
2104,18.97
2105,19.63
2106,20.27
2107,20.49
2108,20.04
2109,19.52
2110,19.09
2111,18.83
2112,18.21
2113,17.46
2114,16.65
2115,15.94
2116,15.23
2117,14.52
2118,13.45
2119,13.13
2120,14.44
2121,15.99
2122,17.35
2123,18.74
2124,16.8
2125,15.45
2126,13.73
2127,13.59
2128,14.82
2129,15.45
2130,16.48
2131,17.27
2132,18.25
2133,19.13
2134,19.7
2135,20.49
2136,21.17
2137,21.82
2138,22.42
2139,22.73
2140,22.88
